Data,preco_soja_usd,petroleo_wti_usd,dxy_index,taxa_cambio_usd_brl,Precip_Brasil_Media_mm,Precip_EUA_Media_mm,ONI,cvol_proxy,imports_1000MT,Estoque_USA_MT,Estoque_Brasil_MT,Estoque_Argentina_MT
2004-06-01,893.0,37.05,88.8,3.086,80.4,116.3,-0.54,126.68245169673678,2096.9823321554773,0.2404145077720207,2.436932944606414,2.1629370629370626
2004-07-01,599.5,43.8,89.96,3.0375,67.4,102.7,-0.134,129.98289232130713,2165.362190812721,0.2644559585492227,2.0769314868804662,1.8384965034965028
2004-08-01,627.25,42.12,88.94,2.927,77.8,97.9,0.319,131.5514699493871,2393.295053003534,0.336580310880829,1.7446224489795925,1.5140559440559436
2004-09-01,527.0,49.64,87.36,2.8595,114.1,83.8,0.596,131.14870976290428,2552.848056537104,1.2020725388601037,1.44000583090379,1.254503496503496
2004-10-01,527.5,51.76,84.91,2.8592,157.8,70.8,0.081,131.2823200727873,2621.227915194346,1.1059067357512953,1.163081632653061,1.0165804195804191
2004-11-01,534.75,49.13,81.82,2.72,170.6,60.2,-0.067,131.75720430435598,2689.60777385159,0.9856994818652848,0.9138498542274052,0.8219160839160837
2004-12-01,547.75,43.45,80.85,2.656,194.0,42.6,0.086,132.40524351684294,2507.2614840989404,0.8414507772020724,0.7753877551020409,0.69213986013986
2005-01-01,514.75,48.2,83.6,2.6088,207.1,32.2,0.45,131.75113670380307,1876.12632508834,0.9504404145077722,0.7074708454810497,0.6667972027972028
2005-02-01,615.5,51.75,82.51,2.5895,196.6,37.0,0.124,131.60260924100538,1801.081272084806,0.8025941278065631,0.9904591836734694,0.77793006993007
2005-03-01,627.5,55.4,84.06,2.68,183.6,60.4,0.012,130.90354839399453,1876.12632508834,0.6758687392055268,1.697930029154519,1.1113286713286714
2005-04-01,619.25,49.72,84.43,2.5282,160.2,85.0,-0.434,130.47889067441332,1951.1713780918733,0.5702642487046632,2.4054008746355686,1.666993006993007
2005-05-01,680.25,51.97,87.76,2.4095,106.3,109.5,-0.782,131.57989539844272,2126.276501766785,0.4857806563039724,2.829883381924198,2.1115244755244755
